ID,Palabra_ES,Categoria,Genero,Traduccion_EN,Traducciones_alt,Frase_ejemplo,Tema,Imagen,Audio
73fb6b57,abuela,noun,♀,grandma,,Mi abuela vive con nosotros desde el año pasado.,familia,"<img src=""73fb6b57.jpg"">",[sound:73fb6b57.mp3]
4a7df6c4,abuelo,noun,♂,grandfather,,Mi abuelo trabajó en esa fábrica durante treinta años.,familia,"<img src=""4a7df6c4.jpg"">",[sound:4a7df6c4.mp3]
e292b1d6,ama,noun,♀,ama,"housewife, mistress",Ella es el ama de casa desde que nacieron los niños.,familia,"<img src=""e292b1d6.jpg"">",[sound:e292b1d6.mp3]
e5115cdc,amante,noun,⚥,lover,,Descubrió que su marido tenía una amante.,familia,"<img src=""e5115cdc.jpg"">",[sound:e5115cdc.mp3]
83682192,amiga,noun,♀,friend,,Mi amiga me ayudó a mudarme el fin de semana.,familia,"<img src=""83682192.jpg"">",[sound:83682192.mp3]
d94729ce,amigo,noun,♂,friend,,Voy a cenar con un amigo del trabajo esta noche.,familia,"<img src=""d94729ce.jpg"">",[sound:d94729ce.mp3]
22e50a0d,amistad,noun,♀,friendship,,Su amistad ha durado más de veinte años.,familia,"<img src=""22e50a0d.jpg"">",[sound:22e50a0d.mp3]
904cafa8,bastardo,noun,♂,bastard,,Le llamó bastardo después de la discusión en el bar.,cualidades_generales,"<img src=""904cafa8.jpg"">",[sound:904cafa8.mp3]
3b766607,bebé,noun,♂,baby,,El bebé duerme la mayor parte del día.,familia,"<img src=""3b766607.jpg"">",[sound:3b766607.mp3]
6751280b,boda,noun,♀,wedding,,La boda se celebra en un jardín el próximo sábado.,familia,"<img src=""6751280b.jpg"">",[sound:6751280b.mp3]
b9ce8959,caballero,noun,♂,gentleman,,El caballero le abrió la puerta a la señora mayor.,familia,"<img src=""b9ce8959.jpg"">",[sound:b9ce8959.mp3]
0409ee1a,chica,noun,♀,girl,,La chica nueva empezó a trabajar en la oficina esta semana.,familia,"<img src=""0409ee1a.jpg"">",[sound:0409ee1a.mp3]
ebea7d75,cita,noun,♀,date,"quote, appointment",Tengo una cita con el médico a las diez de la mañana.,tiempo_temporal,"<img src=""ebea7d75.jpg"">",[sound:ebea7d75.mp3]
541132f8,cobarde,noun,♂,coward,,Lo llamaron cobarde por no defender a su amigo.,cualidades_generales,"<img src=""541132f8.jpg"">",[sound:541132f8.mp3]
614353ab,compañera,noun,♀,companion,,Su compañera de piso organiza una cena todos los viernes.,familia,"<img src=""614353ab.jpg"">",[sound:614353ab.mp3]
864659e2,compañero,noun,♂,companion,,Su compañero de trabajo lo ayudó con el informe.,familia,"<img src=""864659e2.jpg"">",[sound:864659e2.mp3]
aa9354af,compromiso,noun,♂,commitment,engagement,Anunciaron su compromiso durante la cena familiar.,familia,"<img src=""aa9354af.jpg"">",[sound:aa9354af.mp3]
f3ee6369,dama,noun,♀,lady,,Se comportó como toda una dama durante la cena formal.,familia,"<img src=""f3ee6369.jpg"">",[sound:f3ee6369.mp3]
0f729595,divorcio,noun,♂,divorce,,El divorcio de sus padres fue muy difícil para toda la familia.,familia,"<img src=""0f729595.jpg"">",[sound:0f729595.mp3]
6a01bfa3,don,noun,♂,don,"sir, mister",Todos en la oficina lo llaman don Alberto por respeto.,familia,"<img src=""6a01bfa3.jpg"">",[sound:6a01bfa3.mp3]
